question,final_answer,reasoning_summary,winner_provider,verified,entropy,disagreement,risk,concept_cluster,difficulty,subject,source
"A hydrogen-like ion in its 3rd excited state undergoes a transition to the 1st excited state, emitting a photon. This photon strikes a perfectly reflecting solar sail of mass m and area A initially at rest in deep space. Derive the exact velocity imparted to the sail, expressing your answer in terms of the Rydberg constant R, Planck's constant h, the speed of light c, and the atomic number Z.",0,Applied retrieval-guided heuristic reasoning. Key hint: JEE Trap Memory: Common traps include ignoring domain restrictions and unit mismatch.,mini,False,0.0,0.0,1.0,jee|trap|verification|physics|kinematics|units|chemistry|equilibrium,medium,physics,mini_shadow_logs
Let A be a 5x5 matrix with characteristic polynomial P(x) = x^5 - 4x^4 + 3x^3 + 2x^2 - x + 1. Find the exact trace of the matrix (A^3 - 2A^2 + A^-1) using the Cayley-Hamilton theorem and Newton's sums.,1,Parsed arithmetic expression `5 - 4` and evaluated directly.,mini,False,0.0,0.0,1.0,math|equation|algebra|chemistry|equilibrium|jee|quadratic|roots,hard,math,mini_shadow_logs
A non-ideal gas follows the equation of state P(V-nb) = nRT \exp(-a/RTV). Derive the exact analytical expression for the Joule-Thomson coefficient \mu_{JT} and explicitly find the inversion temperature T_i as a function of the van der Waals constants a and b.,nRT \exp(-a/RTV). Derive the exact analytical expression for the Joule-Thomson coefficient \mu_{JT} and explicitly find the inversion temperature T_i as a function of the van der Waals constants a and b.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|verification|chemistry|equilibrium,hard,math,mini_shadow_logs
"A radioactive nucleus A (decay constant \lambda) decays into a daughter nucleus B, which simultaneously decays into a stable nucleus C (decay constant 2\lambda). If a sample initially contains pure A, find the exact time at which the rate of production of C is maximized. Show all calculus steps.",0,Applied retrieval-guided heuristic reasoning. Key hint: JEE Trap Memory: Common traps include ignoring domain restrictions and unit mismatch.,mini,False,0.0,0.0,1.0,jee|trap|verification|physics|kinematics|units|math|quadratic,easy,general,mini_shadow_logs
"Find the total number of surjective functions f: \{1, 2, ..., 10\} \to \{1, 2, 3, 4\} such that f(1) \neq f(2) and f(3) = 1. Express the answer using the Principle of Inclusion-Exclusion and evaluate the final integer.",1. Express the answer using the Principle of Inclusion-Exclusion and evaluate the final integer.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|equation|algebra|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate the definite integral \int_{0}^{\pi/2} \frac{\cos^2(x)}{\cos^2(x) + 4\sin^2(x)} \ln(\sin x) dx using Feynman's parameterization technique.,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
"Solve the recurrence relation a_n = 5a_{n-1} - 6a_{n-2} + 2^n + n, with initial conditions a_0 = 1 and a_1 = 2, using the method of generating functions.","2, using the method of generating functions.",Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|physics|kinematics|units|chemistry|equilibrium,hard,math,mini_shadow_logs
"A black body at temperature T_1 emits radiation with peak emission at wavelength \lambda_1. The temperature is increased to T_2, making the peak wavelength \lambda_1 / 2. Derive the exact ratio of the total power radiated at T_2 to that at T_1.",0.5,Parsed arithmetic expression `1 / 2` and evaluated directly.,mini,False,0.0,0.0,1.0,chemistry|equilibrium|jee|physics|kinematics|units|math|quadratic,easy,physics,mini_shadow_logs
"A particle of mass m moves in a 1D potential V(x) = kx^4. Using the Bohr-Sommerfeld quantization rule \oint p dx = nh, derive the dependence of the quantized energy levels E_n on n.","nh, derive the dependence of the quantized energy levels E_n on n.",Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|equation|algebra|jee|trap|verification,medium,math,mini_shadow_logs
"Let f(x) be a polynomial of degree 4 with leading coefficient 1, satisfying f(1)=10, f(2)=20, f(3)=30 and f(12)+f(-8)=19840. Find f(0).",19840,Parsed arithmetic expression `19840` and evaluated directly.,mini,False,0.0,0.0,1.0,math|quadratic|roots|equation|algebra|chemistry|equilibrium|jee,medium,math,mini_shadow_logs
A uniform solid sphere of mass M and radius R is spinning with angular velocity \omega_0 about a horizontal axis. It is gently placed on a horizontal surface where the coefficient of friction is \mu = \mu_0 (1 - x/L). Derive the total distance traveled before pure rolling commences.,\mu_0 (1 - x/L). Derive the total distance traveled before pure rolling commences.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,physics|kinematics|units|jee|trap|verification|chemistry|equilibrium,medium,physics,mini_shadow_logs
Evaluate the limit \lim_{n \to \infty} \frac{1}{n^3} \sum_{i=1}^{n} \sum_{j=1}^{n} \frac{i^2 j}{i^2 + j^2}.,1}^{n} \frac{i^2 j}{i^2 + j^2}.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|chemistry|equilibrium|jee|trap|verification,medium,math,mini_shadow_logs
"Find the total number of ways to select 5 distinct numbers from {1,...,100} such that their sum is divisible by 5 using roots of unity.",100,Parsed arithmetic expression `100` and evaluated directly.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|quadratic|roots|verification,easy,general,mini_shadow_logs
Solve x^2 y'' - 3xy' + 4y = x^2 \ln(x). Find the particular solution with y(1)=0 and y'(1)=0.,0.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,medium,math,mini_shadow_logs
Evaluate \int_{0}^{\infty} \frac{\ln(x)}{x^2 + 2x + 2} dx using contour integration.,4,Parsed arithmetic expression `2 + 2` and evaluated directly.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Find the number of ways to distribute 20 identical chocolates to 5 children such that no child gets more than 6 chocolates.,0,Applied retrieval-guided heuristic reasoning. Key hint: Chemical Equilibrium: Apply ICE tables and activity approximations carefully under constraints.,mini,False,0.0,0.0,1.0,chemistry|equilibrium|jee|trap|verification|math|equation|algebra,easy,general,mini_shadow_logs
Evaluate \int_{0}^{1} \frac{\ln(1-x)}{x} dx.,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Find the exact determinant of an n x n matrix with diagonal elements 'a' and off-diagonal elements 'b'.,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|chemistry|equilibrium|jee|quadratic|roots,easy,math,mini_shadow_logs
Find all real functions f(x) satisfying f(x^2 + y) = f(x) + f(y^2).,f(x) + f(y^2).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|physics|kinematics,easy,math,mini_shadow_logs
"A particle moves on a cycloid x=a(\theta - \sin\theta), y=a(1+\cos\theta). Derive the exact time period and prove isochronous behavior.",a(1+\cos\theta). Derive the exact time period and prove isochronous behavior.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,medium,math,mini_shadow_logs
"If the coefficients of x^7 and x^8 in the expansion of (2 + x/3)^n are equal, then the value of n is",0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|equation|algebra|jee|trap|verification,medium,math,mini_shadow_logs
If x+2=5 find x,5 find x,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) in radians.,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|physics|kinematics,easy,math,mini_shadow_logs
Evaluate cos^(-1)(1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(-1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos^(-1)(-1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan^(-1)(-1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(0).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(0).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(0).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(-1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1/sqrt(3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sqrt(3)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|equation|algebra|quadratic,easy,math,mini_shadow_logs
Evaluate cos^(-1)(sqrt(2)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(-sqrt(2)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|math|quadratic|roots|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos^(-1)(-sqrt(2)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|math|quadratic|roots|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)/3).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sqrt(3)/2) + cos^(-1)(1/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + cos^(-1)(1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(x) at x=1/sqrt(2).,1/sqrt(2).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(x) at x=-1/sqrt(2).,-1/sqrt(2).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(x) at x=-sqrt(3).,-sqrt(3).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(-1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(inf) (limit).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(-inf).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/sqrt(2)) + sin^(-1)(1/sqrt(2)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1/2) - sin^(-1)(1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(x) + cos^(-1)(x) at x=1/3.,0.3333333333333333,Parsed arithmetic expression `1/3` and evaluated directly.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(1/x) at x=1.,1.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1) + tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1/2) + tan^(-1)(1/3).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(2) + tan^(-1)(1/3).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(1) - tan^(-1)(1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate 2tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + sin^(-1)(sqrt(3)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1/2) + cos^(-1)(-1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) - cos^(-1)(1/2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(x)+tan^(-1)(1/x) at x=2.,2.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(x)+tan^(-1)(1/x) at x=-2.,-2.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate sin^(-1)(2x*sqrt(1-x^2)) at x=1/2.,1/2.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1-2x^2) at x=1/2.,1/2.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin(2 sin^(-1)(1/2)).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos(2 cos^(-1)(1/2)).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan(2 tan^(-1)(1/2)).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + cos^(-1)(sqrt(3)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1/2) - sin^(-1)(sqrt(3)/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)) - tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + tan^(-1)(1/sqrt(3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|equation|algebra|quadratic,medium,math,mini_shadow_logs
Evaluate cos^(-1)(sqrt(2)/2) + tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/sqrt(2)) - tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)) + cos^(-1)(1/2).,0,Applied retrieval-guided heuristic reasoning. Key hint: Trap Warning: Check domain constraints and eliminate extraneous roots.,mini,False,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|equation|algebra|quadratic,medium,math,mini_shadow_logs
Evaluate sin^(-1)(x)+sin^(-1)(x) at x=1/2.,0.5,Parsed arithmetic expression `1/2` and evaluated directly.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate cos^(-1)(x)+cos^(-1)(-x) at x=1/3.,0.3333333333333333,Parsed arithmetic expression `1/3` and evaluated directly.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(x)-tan^(-1)(-x) at x=2.,2.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + sin^(-1)(1/3).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(1/2) + tan^(-1)(2).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
